Item,Category,Calories,FatCalories,Fat,SatFat,TransFat,Cholesterol,Sodium,TotalCarb,DietaryFiber,Sugars,Protein,WeightWatchers
Chicken & Waffles – Crispy,Sliders,350.0,160.0,18.0,7.0,0.0,65.0,650.0,36.0,0.0,14.0,9.0,362.0
Bacon & Smoked Cheddar Crispy Chicken,Sliders,290.0,140.0,16.0,5.0,0.0,40.0,840.0,23.0,1.0,2.0,14.0,283.0
Impossible Slider w/Smoked Cheddar Cheese,Sliders,230.0,120.0,13.0,6.0,0.0,10.0,700.0,17.0,1.0,2.0,10.0,228.0
Impossible Slider – No Cheese,Sliders,190.0,90.0,10.0,4.0,0.0,0.0,530.0,16.0,1.0,2.0,8.0,188.0
Impossible Slider w/American Cheese (Las Vegas only),Sliders,220.0,110.0,12.0,5.0,0.0,10.0,660.0,17.0,1.0,2.0,9.0,218.0
Impossible Slider w/ Dairy-Free Cheddar,Sliders,210.0,100.0,11.0,5.0,0.0,0.0,590.0,18.0,1.0,2.0,8.0,209.0
Breakfast Slider w/Egg & Cheese,Breakfast,200.0,110.0,12.0,4.0,0.0,170.0,370.0,15.0,1.0,2.0,9.0,197.0
Breakfast Slider w/Egg & Jalapeño Cheese,Breakfast,210.0,110.0,13.0,4.0,0.0,170.0,400.0,15.0,1.0,2.0,9.0,207.0
Breakfast Slider w/Egg & Cheddar Cheese,Breakfast,210.0,110.0,13.0,4.5,0.0,175.0,400.0,15.0,1.0,2.0,10.0,206.5
"Breakfast Slider w/Sausage, Egg & Cheese",Breakfast,350.0,240.0,26.0,9.0,0.0,195.0,680.0,15.0,1.0,2.0,14.0,347.0
"Breakfast Slider w/Sausage, Egg & Jalapeño Cheese",Breakfast,360.0,240.0,27.0,10.0,0.0,200.0,710.0,16.0,1.0,2.0,15.0,357.0
"Breakfast Slider w/Sausage, Egg & Cheddar Cheese",Breakfast,360.0,240.0,27.0,10.0,0.0,200.0,710.0,16.0,1.0,2.0,15.0,357.0
"Breakfast Slider w/Bacon, Egg & Cheese",Breakfast,260.0,150.0,17.0,6.0,0.0,180.0,560.0,15.0,1.0,2.0,12.0,256.0
"Breakfast Slider w/Bacon, Egg & Jalapeño Cheese",Breakfast,260.0,160.0,18.0,6.0,0.0,185.0,590.0,15.0,1.0,2.0,12.0,256.0
"Breakfast Slider w/Bacon, Egg & Cheddar Cheese",Breakfast,260.0,160.0,18.0,6.0,0.0,185.0,590.0,15.0,1.0,2.0,13.0,255.0
"Breakfast Slider w/Bologna, Egg & Cheese",Breakfast,350.0,220.0,24.0,8.0,0.0,200.0,870.0,17.0,1.0,3.0,15.0,346.0
"Breakfast Slider w/Bologna, Egg & Jalapeño Cheese",Breakfast,360.0,220.0,25.0,8.0,0.0,200.0,900.0,17.0,1.0,3.0,15.0,356.0
"Breakfast Slider w/Bologna, Egg & Cheddar Cheese",Breakfast,360.0,220.0,25.0,8.0,0.0,205.0,900.0,17.0,1.0,3.0,16.0,355.0
Original Slider w/Egg & Cheese,Breakfast,270.0,160.0,18.0,6.0,0.5,180.0,560.0,16.0,1.0,2.0,13.0,265.0
Original Slider w/Egg & Jalapeño Cheese,Breakfast,280.0,160.0,18.0,7.0,0.0,185.0,600.0,17.0,1.0,2.0,14.0,275.0
Original Slider w/Egg & Cheddar Cheese,Breakfast,280.0,160.0,18.0,7.0,0.0,185.0,600.0,17.0,1.0,2.0,14.0,275.0
"Breakfast Toast Sandwich w/Egg, Cheese",Breakfast,270.0,120.0,13.0,4.0,0.0,170.0,540.0,29.0,2.0,4.0,11.0,267.0
"Breakfast Toast Sandwich w/Egg, Jalapeño Cheese",Breakfast,280.0,120.0,14.0,4.0,0.0,170.0,560.0,29.0,2.0,4.0,11.0,277.0
"Breakfast Toast Sandwich w/Egg, Cheddar Cheese",Breakfast,280.0,120.0,14.0,4.5,0.0,175.0,570.0,29.0,2.0,4.0,12.0,276.5
"Breakfast Toast Sandwich w/Sausage, Egg, Cheese",Breakfast,420.0,250.0,27.0,9.0,0.0,200.0,850.0,29.0,2.0,4.0,16.0,417.0
"Breakfast Toast Sandwich w/Sausage, Egg, Jalapeño Cheese",Breakfast,430.0,250.0,28.0,10.0,0.0,200.0,880.0,30.0,2.0,4.0,17.0,427.0
"Breakfast Toast Sandwich w/Sausage, Egg, Cheddar Cheese",Breakfast,430.0,250.0,28.0,10.0,0.0,200.0,880.0,30.0,2.0,4.0,17.0,427.0
"Breakfast Toast Sandwich w/Bacon, Egg, Cheese",Breakfast,380.0,210.0,23.0,8.0,0.0,195.0,910.0,29.0,2.0,4.0,17.0,375.0
"Breakfast Toast Sandwich w/Bacon, Egg, Jalapeño Cheese",Breakfast,390.0,210.0,24.0,8.0,0.0,195.0,940.0,29.0,2.0,4.0,18.0,384.0
"Breakfast Toast Sandwich w/Bacon, Egg, Cheddar Cheese",Breakfast,390.0,210.0,24.0,8.0,0.0,195.0,940.0,29.0,2.0,4.0,18.0,384.0
"Breakfast Toast Sandwich w/Bologna, Egg, Cheese",Breakfast,420.0,220.0,24.0,8.0,0.0,200.0,1020.0,31.0,0.0,5.0,17.0,416.0
"Breakfast Toast Sandwich w/Bologna, Egg, Jalapeño Cheese",Breakfast,430.0,220.0,25.0,8.0,0.0,200.0,1040.0,31.0,0.0,5.0,17.0,426.0
"Breakfast Toast Sandwich w/Bologna, Egg, Cheddar Cheese",Breakfast,430.0,220.0,25.0,8.0,0.0,205.0,1050.0,31.0,0.0,5.0,18.0,425.0
"Waffle Breakfast Slider w/Egg, Cheese",Breakfast,330.0,190.0,21.0,9.0,0.0,210.0,390.0,27.0,0.0,14.0,9.0,344.0
"Waffle Breakfast Slider w/Egg, Jalapeño Cheese",Breakfast,340.0,190.0,22.0,9.0,0.0,210.0,410.0,27.0,0.0,14.0,9.0,354.0
"Waffle Breakfast Slider w/Egg, Cheddar Cheese",Breakfast,340.0,200.0,22.0,9.0,0.0,215.0,420.0,27.0,0.0,14.0,10.0,353.0
"Waffle Breakfast Slider w/Sausage, Egg, Cheese",Breakfast,490.0,320.0,36.0,15.0,0.0,240.0,730.0,28.0,0.0,14.0,15.0,504.0
